datetime,open,high,low,close/last,volume,market_adjustment%,daily_difference%,label
2020-10-20,14.03,14.143,13.665,13.86,6603951,1.3204297661647721,-2.8857354838628746,Buy
2020-10-21,13.9,14.42,13.8,14.1,5361928,-1.5653057176981025,-2.9987483756565707,Buy
2020-10-22,14.2,15.87,14.19,14.91,16212232,-4.564054093354673,4.910421829250747,Sell
2020-10-23,15.05,15.38,14.55,15.0,6507324,0.34636773589607395,8.39117235249319,Sell
2020-10-26,14.93,15.45,13.26,13.45,13376269,8.737540088389263,-1.6641403667836725,Buy
2020-10-27,13.71,13.71,12.36,12.69,7231006,7.073399721605591,-5.543552390408557,Buy
2020-10-28,12.27,13.05,11.78,11.82,6388580,1.5298473311970335,0.737914459949268,Sell
2020-10-29,11.88,12.25,11.6801,11.73,4165843,2.2677617911463015,7.066330394102123,Sell
2020-10-30,11.64,11.64,10.36,10.47,11562367,9.334092185248425,-8.261197065219433,Buy
2020-11-02,10.82,11.09,10.5,10.75,5227011,1.0728951200289916,-7.718561557245268,Buy
2020-11-03,10.75,11.86,10.63,11.57,7454472,-6.645666437216277,14.959142042050484,Sell
2020-11-04,11.76,11.7699,10.61,10.91,5807871,8.313475604834206,-9.201747995086247,Buy
2020-11-05,11.27,11.84,11.06,11.45,4705245,-0.8882723902520405,-2.031762638976726,Buy
2020-11-06,11.52,12.17,11.32,11.86,5518243,-2.9200350292287665,11.964845719396276,Sell
2020-11-09,12.76,12.93,11.25,11.49,6244865,9.04481069016751,-5.502484524801249,Buy
2020-11-10,11.5,11.66,10.83,11.1,3825963,3.5423261653662617,-5.451310296231772,Buy
2020-11-11,11.5,11.95,11.21,11.75,4882569,-1.90898413086551,6.3846492127299905,Sell
2020-11-12,11.74,11.87,10.97,11.13,4355892,4.475665081864481,-0.47759660360710665,Buy
2020-11-13,11.36,11.55,11.0,11.01,3546171,3.998068478257374,-11.319562074957737,Buy
2020-11-16,11.16,12.6602,10.72,12.06,9774824,-7.321493596700363,7.471562623502638,Sell
2020-11-17,11.65,11.92,11.23,11.63,6678176,0.15006902680227424,0.5726467435078944,Sell
2020-11-18,11.8,12.04,11.56,11.57,3169222,0.7227157703101685,-7.505505420939026,Buy
2020-11-19,11.6,12.79,11.45,12.46,11787613,-6.782789650628858,4.899671467230403,Sell
2020-11-20,12.55,13.46,12.54,12.71,8402347,-1.8831181833984545,-5.566870165287621,Buy
2020-11-23,12.9,14.12,12.67,13.9,9607973,-7.449988348686075,12.522901165321633,Sell
2020-11-24,14.23,14.26,13.3,13.67,7186710,5.072912816635558,-13.689708386465746,Buy
2020-11-25,13.6,15.25,13.42,14.75,8860092,-8.616795569830188,3.4445232043453293,Sell
2020-11-27,15.29,16.74,14.88,16.08,12504197,-5.172272365484859,13.687699487066329,Sell
2020-11-30,18.17,19.42,16.5575,16.56,31983498,8.51542712158147,-0.4043246600285304,Buy
2020-12-01,17.11,17.4,15.76,15.8,12666027,8.111102461552939,-13.299369403531143,Buy
2020-12-02,15.7,16.68,15.38,16.58,7883380,-5.188266941978204,7.330206218617034,Sell
2020-12-03,16.48,16.64,15.87,16.12,6294965,2.14193927663883,-5.0552700792907626,Buy
2020-12-04,16.3,17.29,16.26,16.9,8972672,-2.9133308026519327,6.661888565608734,Sell
2020-12-07,17.0,17.5,16.22,16.35,7386258,3.7485577629568017,-6.709229924386585,Buy
2020-12-08,16.37,17.21,15.93,16.94,16120163,-2.960672161429783,3.9337181790714806,Sell
